automatizacion industrial i  a0437 com01,"dia: martes | horario: 18:00 a 22:00 | docentes: delcauce jorge gonzalo, monferran daniel juan jose | aula: lab auto 3 | edificacion: modulo iii d (labing) | compartido con: nan | tipo de clase: teorico/practico | instancia: regularidad/promocion
"
automatizacion industrial ii  a0094 com01,"dia: lunes | horario: 18:00 a 22:00 | docentes: gomez gerardo martin, malco jorge luis | aula: lab auto 3 | edificacion: modulo iii d (labing) | compartido con: nan | tipo de clase: teorico/practico | instancia: regularidad/promocion
 | dia: miercoles | horario: 18:00 a 19:59 | docentes: gomez gerardo martin, malco jorge luis | aula: lab leeme 1 | edificacion: modulo iii d (labing) | compartido con: nan | tipo de clase: teorico/practico | instancia: regularidad/promocion
"
bases de datos i  a0524 com01,"dia: jueves | horario: 18:00 a 22:00 | docentes: ebertz ximena aylen, rondelli hernan daniel | aula: labo com 7128 | edificacion: modulovii | compartido con: a0439 com-01 |a0524 com-01 | tipo de clase: informatica | instancia: regularidad/promocion
 | dia: lunes | horario: 18:00 a 22:00 | docentes: ebertz ximena aylen, rondelli hernan daniel | aula: labo com 7128 | edificacion: modulovii | compartido con: a0439 com-01 |a0524 com-01 | tipo de clase: informatica | instancia: regularidad/promocion
"
bases de datos i  a0524 com02,"dia: jueves | horario: 13:00 a 16:59 | docentes: bertaccini daniel claudio, rondelli hernan daniel | aula: labo com 7128 | edificacion: modulovii | compartido con: a0439 com-02 |a0524 com-02 | tipo de clase: informatica | instancia: regularidad/promocion
 | dia: lunes | horario: 13:00 a 16:59 | docentes: bertaccini daniel claudio, rondelli hernan daniel | aula: labo com 7128 | edificacion: modulovii | compartido con: a0439 com-02 |a0524 com-02 | tipo de clase: informatica | instancia: regularidad/promocion
"
bases de datos ii  a0532 com01,"dia: jueves | horario: 18:00 a 22:00 | docentes: sabatino pablo luis esteban, salvatierra guillermo ezequiel | aula: labo com 7010 | edificacion: modulovii | compartido con: nan | tipo de clase: informatica | instancia: regularidad/promocion
 | dia: lunes | horario: 18:00 a 22:00 | docentes: sabatino pablo luis esteban, salvatierra guillermo ezequiel | aula: labo com 7010 | edificacion: modulovii | compartido con: nan | tipo de clase: informatica | instancia: regularidad/promocion
"
calculo en varias variables  a0038 com01,"dia: lunes | horario: 18:00 a 19:59 | docentes: choque federico tomas, wilhelm sebastian enrique | aula: aula 3027 | edificacion: moduloiii | compartido con: a0038 com-03 |a0038 com-01 | tipo de clase: teorico | instancia: regularidad/promocion
 | dia: lunes | horario: 20:00 a 22:00 | docentes: choque federico tomas, wilhelm sebastian enrique | aula: aula 7184 | edificacion: moduloviid e3 | compartido con: nan | tipo de clase: practico | instancia: regularidad/promocion
 | dia: miercoles | horario: 18:00 a 19:59 | docentes: choque federico tomas, wilhelm sebastian enrique | aula: aula 3027 | edificacion: moduloiii | compartido con: a0038 com-03 |a0038 com-01 | tipo de clase: teorico | instancia: regularidad/promocion
 | dia: miercoles | horario: 20:00 a 22:00 | docentes: choque federico tomas, wilhelm sebastian enrique | aula: aula 7184 | edificacion: moduloviid e3 | compartido con: nan | tipo de clase: practico | instancia: regularidad/promocion
"
calculo en varias variables  a0038 com02,"dia: lunes | horario: 18:00 a 19:59 | docentes: choque federico tomas, vinales daniel | aula: aula 7184 | edificacion: moduloviid e3 | compartido con: nan | tipo de clase: practico | instancia: regularidad/promocion
 | dia: lunes | horario: 20:00 a 22:00 | docentes: choque federico tomas, vinales daniel | aula: aula 3027 | edificacion: moduloiii | compartido con: a0038 com-04 |a0038 com-02 | tipo de clase: teorico | instancia: regularidad/promocion
 | dia: miercoles | horario: 18:00 a 19:59 | docentes: choque federico tomas, vinales daniel | aula: aula 7184 | edificacion: moduloviid e3 | compartido con: nan | tipo de clase: practico | instancia: regularidad/promocion
 | dia: miercoles | horario: 20:00 a 22:00 | docentes: choque federico tomas, vinales daniel | aula: aula 3027 | edificacion: moduloiii | compartido con: a0038 com-04 |a0038 com-02 | tipo de clase: teorico | instancia: regularidad/promocion
"
calculo en varias variables  a0038 com03,"dia: lunes | horario: 18:00 a 19:59 | docentes: polo tamara carolina, wilhelm sebastian enrique | aula: aula 3027 | edificacion: moduloiii | compartido con: a0038 com-03 |a0038 com-01 | tipo de clase: teorico | instancia: regularidad/promocion
 | dia: lunes | horario: 20:00 a 22:00 | docentes: polo tamara carolina, wilhelm sebastian enrique | aula: aula 7173 | edificacion: modulovii | compartido con: nan | tipo de clase: practico | instancia: regularidad/promocion
 | dia: miercoles | horario: 18:00 a 19:59 | docentes: polo tamara carolina, wilhelm sebastian enrique | aula: aula 3027 | edificacion: moduloiii | compartido con: a0038 com-03 |a0038 com-01 | tipo de clase: teorico | instancia: regularidad/promocion
 | dia: miercoles | horario: 20:00 a 22:00 | docentes: polo tamara carolina, wilhelm sebastian enrique | aula: aula 7171 | edificacion: modulovii | compartido con: nan | tipo de clase: practico | instancia: regularidad/promocion
"
calculo en varias variables  a0038 com04,"dia: lunes | horario: 18:00 a 19:59 | docentes: polo tamara carolina, vinales daniel | aula: aula 7173 | edificacion: modulovii | compartido con: nan | tipo de clase: practico | instancia: regularidad/promocion
 | dia: lunes | horario: 20:00 a 22:00 | docentes: polo tamara carolina, vinales daniel | aula: aula 3027 | edificacion: moduloiii | compartido con: a0038 com-04 |a0038 com-02 | tipo de clase: teorico | instancia: regularidad/promocion
 | dia: miercoles | horario: 18:00 a 19:59 | docentes: polo tamara carolina, vinales daniel | aula: aula 7171 | edificacion: modulovii | compartido con: nan | tipo de clase: practico | instancia: regularidad/promocion
 | dia: miercoles | horario: 20:00 a 22:00 | docentes: polo tamara carolina, vinales daniel | aula: aula 3027 | edificacion: moduloiii | compartido con: a0038 com-04 |a0038 com-02 | tipo de clase: teorico | instancia: regularidad/promocion
"
calculo i  a0039 com01,"dia: lunes | horario: 08:00 a 09:59 | docentes: conde cristian marcelo | aula: aula 3007 | edificacion: moduloiii | compartido con: a0039 com-02 |a0039 com-01 | tipo de clase: teorico | instancia: regularidad
 | dia: lunes | horario: 10:00 a 11:59 | docentes: conde cristian marcelo | aula: aula 7020 | edificacion: modulovii | compartido con: nan | tipo de clase: practico | instancia: regularidad
 | dia: miercoles | horario: 08:00 a 09:59 | docentes: conde cristian marcelo | aula: aula 3007 | edificacion: moduloiii | compartido con: a0039 com-02 |a0039 com-01 | tipo de clase: teorico | instancia: regularidad
 | dia: miercoles | horario: 10:00 a 11:59 | docentes: conde cristian marcelo | aula: aula 7020 | edificacion: modulovii | compartido con: nan | tipo de clase: practico | instancia: regularidad
"
